doc_type,chunk_idx,entities,latency,input_tokens,output_tokens,article_name
historical_document,0,Kyrla Halford; Kronos; University of Abila; October 2005; One World Research Institute for Social Development; Center for Change Now; Esme Nesmith; Elian Karel; Protectors of Kronos; Elodis; Petrus Gerhard; Juliana Vann; 1997; Tiskele River; Abila; 1834,2.777231454849243,1090,77,
historical_document,1,1834; Tiskele River; Elodis; Water Contamination; 1997; Elodis Community Health Center; City Council; Kronos; Protectors of Kronos SMO; Henk Bodrogi; Carmine Osvaldo; Ale L. Hanne; Jeroen Karel; Valentine Mies; Yanick Cato; Joreto Katell; Kronos military; 1997; Mira; ethylene glycol; Chamber of Commerce,3.881600379943848,1091,99,
historical_document,2,Bodrogi; Carmine Osvaldo; Kronos; Elodis; Chamber of Commerce; Abila; Minister of Interior; Tiskele River; Elodis Community Health Center; Jeroen Karel; Valentine Mies; GAStech; Protectors of Kronos; Wellness for All; Joclyn Reynolds; Hank Fluss; Chief Operating Officer; 25 km,3.771487474441528,1080,81,
historical_document,3,"Hank Fluss; Chief Operating Officer; GAStech; Bodrogi; Osvaldo; Sten Sanjorge, Jr.; CEO; POK; August 18 1998; Juliana Vann; Lemual and Neske Vann; leukemia; benzene toxicity; Valentine Mies; Yanick Cato; Warhol-esque; Kronos; WFA; 1998; Hyper Acidic Substrate Removal; natural gas drilling operations; Elodis water; benzene; toluene; xylene arsenic; barium; chromium; lead; selenium; international health organization conferences; Elodisan; Jeroen Karel; recruiter; personnel organizer; Abila; Protectors of Kronos; SMO; capital city of Kronos; Minister of Health.",6.280916452407837,1102,163,
historical_document,4,POK; Minister of Health; Cesare Nespola; July 1999; oil and gas development; health care; clean water projects; GAStech; Hank Fluss; Kronos government; March 2001; Government of Kronos Assembly; June 2001; Elodis; August 2001; Elian Karel; Jeroen; Henk Bodrogi; Elodisians; October 2001; Changing of the Guard,3.3931055068969727,1124,96,
historical_document,5,October 2001; Henk Bodrogi; POK; Elian Karel; GAStech; Kronos; Protectors of Kronos; Fredrick N. Wagner; Westley B. Andrews; January 2009; Tiskele Bend; Elodis; Abila; Tiskele River; 1997; Elodis City Council; ethylene glycol,3.022139549255371,1097,80,
historical_document,6,"Bodrogi; Kronosian military; Kronosian government; Carmine Osvaldo; Elodis Chamber of Commerce; Kronos; Protectors of Kronos; Wellness for All (WFA); Tiskele River; Tiskele Bend gas fields; Hyper Acidic Substrate Removal; GAStech; Tiskele Bend fields; POK; Jeroen Karel; Elian Karel; Hank Fluss; GAStech’s Chief Operating Officer; Sten Sanjorge, Jr.; Abila; Minister of Health, Cesare Nespola.",4.64486575126648,1074,120,
historical_document,7,Bodrogi; Osvaldo; Minister of Health; Cesare Nespola; POK; July 1999; oil and gas development; health care; clean water projects; rural areas; March 2001; Vincent Kapelou; President Kapelou; General Assembly; Tiskele River; Tiskele Bend fields; August 2001; Henk Bodrogi; Elian Karel; Elodis; A Time of Peaceful Engagement and Recruitment; 2002-2004; Abila; government accountability; corruption; bribery; fraud,4.681276798248291,1077,118,
historical_document,8,Karel; 2005; Tiskele River; POK; 2009; Activism and Protest; Three Possible Futures; bribery; fraud; government; gas and oil field operations; civil disobedience; militant; violent action; social movements; powerholders; political agendas; systematic suppression; external forces; targeted harassment; key activists; campaigns; visible leaders; repression; moderate alternatives; martyrs; myths; militants,3.999887704849243,1029,86,
historical_document,9,POK; Elian Karel; Kronosian government; Silvia Marek; Mandor Vann; 2001,1.8964712619781492,1064,26,
historical_document,10,POK; Marek; Mandor Vann; Isia; Juliana Vann; Dominant POK Personalities; 2009; Elian Karel; Kronos; General Assembly; Silvia Marek; Save Our Wildlands; University of Abila; 1998; 2005; Tiskele Bend fields; Abila; Kronos military; 2004; Kronosian embassies; Tethys; Asteria; Elodis; Tiskele River; 10-year-old; 1998,4.922585248947144,1106,112,
historical_document,11,Isia Vann; Elodis; Juliana Vann; 1998; Tiskele River; Mandor Vann; POK; Tiskele Bend; Lucio Jakab; Save Our Wildlands; University of Abila; Elian Karel; 2005; Kronos; Lorenzo Di Stefano; environmental science; Hyper Acidic Substrate Removal; HASR; Kronosian,3.279005527496338,909,84,
