doc_key,chunk_index,entities,latency,input_tokens,output_tokens,processed_entities
0,0,Kyrla Halford; University of Abila; Kronos; October 2005; Master of Humanities; Degree of Master of Arts in Humanities; One World Research Institute for Social Development; Center for Change Now; The Application and Validation of a Social Movement Model in Understanding the Evolution and State of One Grassroots Social Movement in Kronos: Protectors of Kronos; 2005; SW1138; Kyrla.halford@uabila.ac.kronos; Protectors of Kronos,4.019341945648193,713,103,Kyrla Halford; University of Abila; Kronos; October 2005; Master of Humanities; Degree of Master of Arts in Humanities; One World Research Institute for Social Development; Center for Change Now; The Application and Validation of a Social Movement Model in Understanding the Evolution and State of One Grassroots Social Movement in Kronos: Protectors of Kronos; 2005; SW1138; Kyrla.halford@uabila.ac.kronos; Protectors of Kronos
0,1,Master’s Thesis; Paper SW1138; Esme Nesmith; Elian Karel; Protectors of Kronos; Elodis; Petrus Gerhard; Juliana Vann,1.967966079711914,705,38,Master’s Thesis; Paper SW1138; Esme Nesmith; Elian Karel; Protectors of Kronos; Elodis; Petrus Gerhard; Juliana Vann
0,2,1997; Elodis; Kronos; Tiskele River; Protectors of Kronos; Abila; 1834; floodplain farming,1.9204576015472408,690,31,1997; Elodis; Kronos; Tiskele River; Protectors of Kronos; Abila; 1834; floodplain farming
0,3,1997; Elodis; Elodis Community Health Center; City Council; Kronos,3.1573374271392822,690,19,1997; Elodis; Elodis Community Health Center; City Council; Kronos
0,4,Initial Stage; Grassroots Effort; Council; Elodis; SMO; Protectors of Kronos SMO; Henk Bodrogi; Carmine Osvaldo; Ale L. Hanne; Jeroen Karel; Valentine Mies; Yanick Cato; Joreto Katell; Kronos; 1997,2.945101499557495,733,70,Initial Stage; Grassroots Effort; Council; Elodis; SMO; Protectors of Kronos SMO; Henk Bodrogi; Carmine Osvaldo; Ale L. Hanne; Jeroen Karel; Valentine Mies; Yanick Cato; Joreto Katell; Kronos; 1997
0,5,Bodrogi; Mira; ethylene glycol; Carmine Osvaldo; Kronos military; Elodis; Chamber of Commerce; Kronos government; Elodis Community Health Center; Abila; Minister of Interior; Tiskele River,2.228003025054932,708,53,Bodrogi; Mira; ethylene glycol; Carmine Osvaldo; Kronos military; Elodis; Chamber of Commerce; Kronos government; Elodis Community Health Center; Abila; Minister of Interior; Tiskele River
0,6,Elodis; Jeroen Karel; Valentine Mies; GAStech; Tiskele River; 25 km; Bodrogi; Osvaldo; Abila; Protectors of Kronos; SMO; River,1.9395403861999512,698,48,Elodis; Jeroen Karel; Valentine Mies; GAStech; Tiskele River; 25 km; Bodrogi; Osvaldo; Abila; Protectors of Kronos; SMO; River
0,7,Protectors of Kronos; POK; Osvaldo; Wellness for All; WFA; Joclyn Reynolds; Tiskele River; GAStech; Hank Fluss; Chief Operating Officer; Bodrogi,1.9723443984985352,689,45,Protectors of Kronos; POK; Osvaldo; Wellness for All; WFA; Joclyn Reynolds; Tiskele River; GAStech; Hank Fluss; Chief Operating Officer; Bodrogi
0,8,"Fluss; Bodrogi; Osvaldo; POK; CEO of GAStech; Sten Sanjorge, Jr.; August 18 1998; Juliana Vann; Lemual and Neske Vann; leukemia; benzene toxicity; Valentine Mies; Yanick Cato; Warhol",3.1130058765411377,745,65,"Fluss; Bodrogi; Osvaldo; POK; CEO of GAStech; Sten Sanjorge, Jr.; August 18 1998; Juliana Vann; Lemual and Neske Vann; leukemia; benzene toxicity; Valentine Mies; Yanick Cato; Warhol"
0,9,POK; Kronos; WFA; 1998; Hyper Acidic Substrate Removal; Elodis; benzene; toluene; xylene arsenic; barium; chromium; lead; selenium; international health organization; Elodisan; Juliana; Jeroen Karel,2.6643569469451904,694,61,POK; Kronos; WFA; 1998; Hyper Acidic Substrate Removal; Elodis; benzene; toluene; xylene arsenic; barium; chromium; lead; selenium; international health organization; Elodisan; Juliana; Jeroen Karel
