doc_key,processed_entities,output_tokens
0,"25 km; Council; Warhol; chromium; Joclyn Reynolds; Kyrla.halford@uabila.ac.kronos; 1997; xylene arsenic; Elodis; Yanick Cato; lead; Cesare Nespola; Abila; ethylene glycol; Initial Stage; Joreto Katell; Esme Nesmith; Master of Humanities; POK; Protectors of Kronos SMO; Chief Operating Officer; Elodisians; Valentine Mies; University of Abila; August; Mira; River; August 18 1998; Minister of Health; selenium; Wellness for All; Alliance Stage; Petrus Gerhard; benzene; Juliana Vann; Sten Sanjorge, Jr.; Paper SW1138; October 2001; SW1138; Chamber of Commerce; Kronos government; Jeroen; Protectors of Kronos; Bodrogi; Fluss; Tiskele River; Lemual and Neske Vann; Jeroen Karel; GAStech fields; Elodisan; Hank Fluss; Minister of Interior; benzene toxicity; Ale L. Hanne; 1998; leukemia; Elodis Community Health Center; City Council; Kyrla Halford; barium; October 2005; Grassroots Effort; Juliana; CEO of GAStech; Elian Karel; 2005; toluene; SMO; June 2001; Carmine Osvaldo; Osvaldo; Center for Change Now; Master’s Thesis; Hyper Acidic Substrate Removal; WFA; floodplain farming; 1834; Minister Nespola; March 2001; Kronos military; Government of Kronos Assembly; GAStech; Kronos; Henk Bodrogi; August 2001; July 1999",684
1,"Lucio Jakab; 25 km; Kronosian government; 1997; Elodis; Cesare Nespola; 2005-2008; mainstream political forces; Abila; ethylene glycol; POK; HASR; Fredrick N. Wagner; University of Abila; Lorenzo Di Stefano; agrarian lifestyle; Tiskele Bend gas fields; Minister of Health; 2002-2004; 200-300; Vincent Kapelou; Tethys; Wellness for All (WFA); Juliana Vann; Sten Sanjorge, Jr.; 1997-2001; 2009; Kronosian; Nespola; Di Stefano; Silvia Marek; Protectors of Kronos; Bodrogi; Fluss; Tiskele River; social movement; new wave activists; Isia Vann; Jeroen Karel; No entities detected.; Hank Fluss; Kronosian military; 1998; environmental science; Tiskele Bend; Three Possible Futures; Westley B. Andrews; Isia; Dominant POK Personalities; Mandor Vann; 2004; Activism and Protest; Karel; General Assembly; Elian Karel; Elodis Chamber of Commerce; Social movements; 2005; Kronosian embassies; President Kapelou; Carmine Osvaldo; Osvaldo; Hyper Acidic Substrate Removal; Asteria; WFA; January 2009; Elodis City Council; Tiskele Bend fields; March 2001; Kronos military; GAStech; Kronos; Henk; 2001; Henk Bodrogi; August 2001; Save Our Wildlands; the capitol city; July 1999",630
2,Kronos federal police; All News Today; Kronos; Tiskele Bend GAStech; The Weavers of our Homeland; This is Our Land; Protectors of Kronos; Songs of the Farmer; 2005/04/06; POK; ELODIS,57
3,ABILA; Silvia Marek; All News Today; 2012/04/09; Protectors of Kronos; Kronos,28
4,ABILA; All News Today; 1993/02/02; President Luis Araullo; Kronos,30
5,1961; Sten Sanjorge Sr; Reese; 6500; Tiskele River; Sanjorge Sr; KRONOS; Elodis; Petrus Gerhard; '94; Tethys; ELODIS; Hank Fluss; Sten Sanjorge Jr; All News Today; Elodis Weekly Journal; Homeland Illumination; Pondo Reese; Tiskele Bend; People of Kronos; GAStech; 1998/03/20; Henk Bodrogi; Osvaldo hardware store; GAStech International,128
6,All News Today; Ministry of Health; Kronos; Wellness For All; KRONOS; Elodis Weekly Journal; interior; Reese; Pondo Resses; health; justice; foreign affairs; 1998/05/15; ELODIS; Henk Bodrogi,60
7,Wellness for All; All News Today; Elodis Community Health Center; Kronos; 1998; 2004/05/29; Elodis municipal website; ELODIS,51
8,ABILA; benzene; All News Today; 2013/06/21; Protectors of Kronos; Elodis; Juliana Vann; WHO BRINGS A GUN TO A SIT IN?; 1998; Tiskele River; Abila Police; June 19th; Kronos; POK; Kronos government,75
9,2001/03/22; All News Today; Abila; Protectors of Kronos; Elodis; Homeland Illumination; Cesare Nespola; Kronos; Minister of Health; General Assembly; Henk Bodrogi,50
