401,0,"News Online Today | publication date | 1998/04/26
ELODIS | founder | Petrus Gerhard
KRONOS | founder | Petrus Gerhard
Petrus Gerhard | notable work | ELODIS
Petrus Gerhard | notable work | KRONOS
Homeland Illumination | founder | Henk Bodrogi
Bodrogi | notable work | Homeland Illumination
Henk Bodrogi | notable work | Homeland Illumination
Wellness For All | founder | Reynolds
Reynolds | notable work | Wellness For All
Elodis | founder | Petrus Gerhard
Petrus Gerhard | notable work | Elodis
ELODIS | part of | News Online Today
KRONOS | part of | News Online Today
Homeland Illumination | part of | News Online Today
Wellness For All | part of | News Online Today
Elodis | part of | News Online Today
Bodrogi | part of | News Online Today
Reynolds | part of | News Online Today
Henk Bodrogi | part of | News Online Today
Petrus Gerhard | part of | News Online Today
News Online Today | contains | ELODIS
News Online Today | contains | KRONOS
News Online Today | contains | Homeland Illumination
News Online Today | contains | Wellness For All
News Online Today | contains | Elodis
News Online Today | contains | Bodrogi
News Online Today | contains | Reynolds
News Online Today | contains | Henk Bodrogi
News Online Today | contains | Petrus Gerhard",13.527585744857788,1139,341
401,1,"Reynolds | employer | GAStech
Elodis | employer | GAStech
Tiskele River | country | Kronos
GAStech | country | Kronos
Kronos | contains administrative territorial entity | Kronesian community
Reynolds | country | Kronos
Elodis | country | Kronos
GAStech | located in the administrative territorial entity | Kronos
Reynolds | located in the administrative territorial entity | Kronos
Elodis | located in the administrative territorial entity | Kronos
Tiskele River | located in the administrative territorial entity | Kronos
Kronesian community | country | Kronos
Kronesian community | located in the administrative territorial entity | Kronos",5.1329662799835205,1112,151
402,0,"News Online Today | publication date | 2014/01/19
GAStech | country | ABILA
Kronos | country | ABILA
Ingrid Barranco | employer | GAStech
Ada Campo-Corrente | employer | GAStech
Orhan Strum | employer | GAStech
Willem Vasco-Pais | employer | GAStech
Sten Sanjorge Jr. | employer | GAStech
GAStech | competitor | Kronos
Kronos | competitor | GAStech
Ingrid Barranco | country | ABILA
Ada Campo-Corrente | country | ABILA
Orhan Strum | country | ABILA
Willem Vasco-Pais | country | ABILA
Sten Sanjorge Jr. | country | ABILA
News Online Today | country | ABILA
GAStech | mentioned in | News Online Today
Kronos | mentioned in | News Online Today
Ingrid Barranco | mentioned in | News Online Today
Ada Campo-Corrente | mentioned in | News Online Today
Orhan Strum | mentioned in | News Online Today
Willem Vasco-Pais | mentioned in | News Online Today
Sten Sanjorge Jr. | mentioned in | News Online Today
ABILA | mentioned in | News Online Today",12.010154247283936,1142,275
403,0,"News Online Today | publication date | 2000/10/02
PRESIDENT KAPELOU | position held | President Dorel Kapelou II
ABILA | country | PRESIDENT KAPELOU
Kronos | country | PRESIDENT KAPELOU
President Dorel Kapelou II | position held | PRESIDENT KAPELOU
Former President Luis Araullo | position held | PRESIDENT KAPELOU
ABILA | country | President Dorel Kapelou II
Kronos | country | President Dorel Kapelou II
Former President Luis Araullo | country | ABILA
Former President Luis Araullo | country | Kronos
News Online Today | country | ABILA
News Online Today | country | Kronos
News Online Today | publisher | PRESIDENT KAPELOU
News Online Today | publisher | President Dorel Kapelou II
News Online Today | publisher | Former President Luis Araullo",8.345220804214478,1130,203
404,0,"News Online Today | publication date | 2000/08/15
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | publication date | 2000/08/15
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | location | Tiskele Bend
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | location | ABILA
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | location | GAStech International
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | point in time | 3 a.m.
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | point in time | Sunday
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | contributor | Rebecca Cato
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | contributor | Kronos
EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE | contributor | Elodis
GAStech International | location | Tiskele Bend
GAStech International | location | ABILA
GAStech International | event | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
Rebecca Cato | contributor | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
Kronos | contributor | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
Elodis | contributor | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
Tiskele Bend | event | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
ABILA | event | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
3 a.m. | event time | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE
Sunday | event time | EXPLOSION ROCKS GASTECH'S TISKELE BEND SITE",17.085118770599365,1150,438
405,0,"News Online Today | publication date | 2012/04/10
RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY | location | ABILA
RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY | organizer | Protectors of Kronos
RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY | participant | Silvia Marek
RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY | publication date | 2012/04/10
Protectors of Kronos | location | ABILA
Protectors of Kronos | participant | Silvia Marek
Protectors of Kronos | organizer | RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY
Silvia Marek | participant | RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY
Silvia Marek | location | ABILA
Silvia Marek | member of | Protectors of Kronos
ABILA | event | RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY
Kronos | location | ABILA
Kronos | protector | Protectors of Kronos
News Online Today | location | ABILA
News Online Today | subject | RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY
News Online Today | subject | Protectors of Kronos
News Online Today | subject | Silvia Marek
News Online Today | subject | Kronos
News Online Today | subject | ABILA
News Online Today | subject | 2012/04/10",12.84464693069458,1136,340
406,0,"News Online Today | publication date | 2011/06/21
POK | abbreviation for | Protectors of Kronos
Siopa District | located in the administrative territorial entity | Abila
Siopa District | country | ABILA
Protectors of Kronos | country | ABILA
Protectors of Kronos | located in the administrative territorial entity | Abila
Kronos | country | ABILA
Kronos | located in the administrative territorial entity | Abila
Abila | contains administrative territorial entity | Siopa District
ABILA | contains administrative territorial entity | Siopa District
Abila | contains administrative territorial entity | Kronos
ABILA | contains administrative territorial entity | Kronos
Abila | contains administrative territorial entity | Protectors of Kronos
ABILA | contains administrative territorial entity | Protectors of Kronos
News Online Today | country | ABILA
News Online Today | located in the administrative territorial entity | Abila
News Online Today | inception | 2011/06/21
2011/06/21 | country | ABILA
2011/06/21 | located in the administrative territorial entity | Abila
2011/06/21 | inception | News Online Today
Protectors of Kronos | inception | 2011/06/21
Kronos | inception | 2011/06/21
Siopa District | inception | 2011/06/21
Abila | inception | 2011/06/21
ABILA | inception | 2011/06/21
News Online Today | notable work | 2011/06/21
POK | country | ABILA
POK | located in the administrative territorial entity | Abila
POK | inception | 2011/06/21
POK | notable work | Protectors of Kronos
Protectors of Kronos | notable work | POK
Kronos | notable work | Protectors of Kronos
Siopa District | notable work | Protectors of Kronos
Abila | notable work | Protectors of Kronos
ABILA | notable work | Protectors of Kronos
News Online Today | notable work | Protectors of Kronos
2011/06/21 | notable work | Protectors of Kronos
POK | notable work | Kronos
Protectors of Kronos | notable work | Kronos
Siopa District | notable work | Kronos
Abila | notable work | Kronos
ABILA | notable work | Kronos
News Online Today | notable work | Kronos
2011/06/21 | notable work | Kronos
POK | notable work | Siopa District
Protectors of Kronos | notable work | Siopa District
Kronos | notable work | Siopa District
Abila | notable work | Siopa District
ABILA | notable work | Siopa District
News Online Today | notable work | Siopa District
2011/06/21 | notable work | Siopa District
POK | notable work | Abila
Protectors of Kronos | notable work | Abila
Kronos | notable work | Abila
Siopa District | notable work | Abila
ABILA | notable work | Abila
News Online Today | notable work | Abila
2011/06/21 | notable work | Abila
POK | notable work | ABILA
Protectors of Kronos | notable work | ABILA
Kronos | notable work | ABILA
Siopa District | notable work | ABILA
Abila | notable work | ABILA
News Online Today | notable work | ABILA
2011/06/21 | notable work | ABILA
POK | notable work | News Online Today
Protectors of Kronos | notable work | News Online Today
Kronos | notable work | News Online Today
Siopa District | notable work | News Online Today
Abila | notable work | News Online Today
ABILA | notable work | News Online Today
2011/06/21 | notable work | News Online Today",36.750683069229126,1124,850
407,0,"News Online Today | publication date | 2014/01/20
POK | abbreviation for | Protectors of Kronos
GAStech | location | ABILA
GAStech | location | Kronos
Edvard Vann | location | ABILA
Edvard Vann | location | Kronos
Protectors of Kronos | location | Kronos
Abila | location | Kronos
Abila | location | GAStech
Kronos | contains administrative territorial entity | GAStech
Kronos | contains administrative territorial entity | Abila
Edvard Vann | affiliation | Protectors of Kronos
Edvard Vann | affiliation | GAStech
Protectors of Kronos | affiliation | GAStech
Abila | affiliation | GAStech
Kronos | affiliation | GAStech
News Online Today | location | ABILA
News Online Today | location | Kronos
News Online Today | affiliation | GAStech
News Online Today | affiliation | Protectors of Kronos
News Online Today | affiliation | Edvard Vann
News Online Today | affiliation | Abila
News Online Today | affiliation | Kronos
POK | location | Kronos
POK | affiliation | GAStech
POK | affiliation | Edvard Vann
POK | affiliation | Abila
POK | affiliation | Kronos
POK | affiliation | News Online Today
POK | affiliation | Protectors of Kronos
POK | location | ABILA
POK | location | GAStech
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
POK | location | Protectors of Kronos
POK | location | Edvard Vann
POK | location | Abila
POK | location | Kronos
POK | location | News Online Today
