doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
Elodis | located near | Tiskele River
Minister of Health | located in the administrative territorial entity | GAStech fields
POK | product | Hyper Acidic Substrate Removal
POK | located in the administrative territorial entity | Elodis
Cesare Nespola | position held | Minister of Health
Henk Bodrogi | member of | Protectors of Kronos
POK | product | chromium
Degree of Master of Arts in Humanities | located in the administrative territorial entity | Kronos
SW1138 | located in the administrative territorial entity | Kronos
Elodis | country | Kronos government
Jeroen Karel | position held | Minister of Health
POK | inception | August 2001
Wellness for All | also known as | WFA
Mira | country | Abila
SMO | inception | 1997
Chamber of Commerce | country | Abila
Bodrogi | contains administrative territorial entity | GAStech
Council | participant | Elodis
POK | contains administrative territorial entity | Elodisians
GAStech | country | Kronos government
Cesare Nespola | location | Abila
Valentine Mies | participant | Yanick Cato
POK | product | benzene
Protectors of Kronos | inception | July 1999
Osvaldo | located in the administrative territorial entity | Protectors of Kronos
Petrus Gerhard | character in | Protectors of Kronos
Elian Karel | employee | Kronos
Paper SW1138 | author | Elian Karel
Juliana Vann | parent | Lemual and Neske Vann
Elodis Community Health Center | country | Kronos
Carmine Osvaldo | position held | Minister of Interior
POK | location | Abila
Joclyn Reynolds | member of | Wellness for All
Kronos government | contains administrative territorial entity | GAStech fields
Elodis | located in the administrative territorial entity | GAStech fields
Abila | country | Kronos
Chief Operating Officer | employer | GAStech
Osvaldo | colleague | Fluss
Grassroots Effort | inception | 1997
Minister of Interior | located near | Tiskele River
Warhol | colleague | Yanick Cato
Minister of Interior | affiliated with | Kronos government
Esme Nesmith | author | Master’s Thesis
Chamber of Commerce | located in the administrative territorial entity | Abila
Elodis Community Health Center | inception | 1997
Alliance Stage | member | Cesare Nespola
Bodrogi | located near | Mira
Juliana Vann | cause of death | leukemia
POK | country | Government of Kronos Assembly
Master of Humanities | located in the administrative territorial entity | Kronos
POK | located in the administrative territorial entity | Elodisians
Jeroen Karel | located in the administrative territorial entity | Protectors of Kronos
Elian Karel | member of | POK
Bodrogi | country | Protectors of Kronos
Alliance Stage | member | Jeroen Karel
Kyrla Halford | education | University of Abila
Jeroen | member of | POK
GAStech | employer | Chief Operating Officer
POK | part of | Alliance Stage
GAStech | inception | October 2001
Elodis Community Health Center | located in the administrative territorial entity | Abila
Hank Fluss | position held | Chief Operating Officer
Kyrla Halford | country | Kronos
GAStech fields | country | Government of Kronos Assembly
Government of Kronos Assembly | contains administrative territorial entity | GAStech fields
POK | product | Kronos
Elodis | location in | Protectors of Kronos
Alliance Stage | contains | Protectors of Kronos
Carmine Osvaldo | located in the administrative territorial entity | Abila
POK | contains | Cesare Nespola
Elodis | country | Abila
Elodis | inception | 1997
Abila | location | Kronos
Protectors of Kronos | located in the administrative territorial entity | Kronos
POK | position held | Minister of Health
Elodis | located in the administrative territorial entity | Abila
Bodrogi | colleague | Yanick Cato
Elodisians | located in the administrative territorial entity | POK
Jeroen Karel | manufacturer | POK
Master of Humanities | awarded by | University of Abila
Minister of Health | country | Government of Kronos Assembly
ethylene glycol | located in the administrative territorial entity | Abila
Initial Stage | inception | 1997
POK | country | Elodisians
Minister of Health | employer | Hank Fluss
Elodis Community Health Center | part of | Elodis
The Application and Validation of a Social Movement Model in Understanding the Evolution and State of One Grassroots Social Movement in Kronos: Protectors of Kronos | publication date | October 2005
Hank Fluss | employer | GAStech
Minister of Interior | part of | Kronos government
Kronos military | located near | Tiskele River
The Application and Validation of a Social Movement Model in Understanding the Evolution and State of One Grassroots Social Movement in Kronos: Protectors of Kronos | located in the administrative territorial entity | Kronos
Henk Bodrogi | nationality | Elodisians
Protectors of Kronos | contains character | Juliana Vann
Chief Operating Officer | position held | Hank Fluss
GAStech | located in the administrative territorial entity | Tiskele River
Kyrla Halford | occupation | One World Research Institute for Social Development
Hank Fluss | country | Government of Kronos Assembly
POK | contains | Abila
Kyrla Halford | occupation | Center for Change Now
POK | member | Osvaldo
Elodisians | country | POK
POK | inception | October 2001
Tiskele River | country | Kronos
Tiskele River | located in the administrative territorial entity | Bodrogi
Sten Sanjorge, Jr. | sibling | Juliana Vann
Yanick Cato | inception | 1997
POK | colleague | Yanick Cato
Juliana Vann | character in | Protectors of Kronos
Minister of Health | located in the administrative territorial entity | Elodis
University of Abila | country | Kronos
Valentine Mies | colleague | Yanick Cato
Abila | located in the administrative territorial entity | Kronos
Warhol | colleague | Fluss
Elodis | country | Kronos
ethylene glycol | located near | Tiskele River
GAStech | country | Bodrogi
Abila | inception | 1834
Kronos | located in the administrative territorial entity | Elodis
Yanick Cato | colleague | Valentine Mies
Initial Stage | participant | Grassroots Effort
Henk Bodrogi | participant | Carmine Osvaldo
POK | contains | Alliance Stage
Elodis Community Health Center | owner | City Council
Bodrogi | located near | Tiskele River
Protectors of Kronos | publication date | 1997
Jeroen Karel | member of | Protectors of Kronos
Kronos | contains administrative territorial entity | Elodis
Yanick Cato | participant | Joreto Katell
POK | contains | Kronos
Minister of Health | country | Kronos government
Kronos | method of farming | floodplain farming
Jeroen Karel | inception | 1997
GAStech | inception | June 2001
POK | inception | July 1999
Tiskele River | country | Bodrogi
SMO | participant | Protectors of Kronos SMO
GAStech | located in the administrative territorial entity | Elodis
POK | member | Cesare Nespola
Mira | located near | Tiskele River
GAStech | country | Government of Kronos Assembly
Sten Sanjorge, Jr. | parent | Lemual and Neske Vann
Minister of Interior | country | Abila
Bodrogi | located in the administrative territorial entity | Protectors of Kronos
Fluss | occupation | CEO of GAStech
25 km | country | Protectors of Kronos
Kyrla Halford | email | Kyrla.halford@uabila.ac.kronos
Kronos military | affiliated with | Kronos government
Elian Karel | member of | Protectors of Kronos
POK | product | Elodisan
The Application and Validation of a Social Movement Model in Understanding the Evolution and State of One Grassroots Social Movement in Kronos: Protectors of Kronos | subject | Protectors of Kronos
Osvaldo | member of | POK
Kronos | inception | 1997
POK | product | xylene arsenic
Juliana Vann | cause of death | benzene toxicity
GAStech fields | country | Kronos government
international health organization | manufacturer | POK
Kronos military | located in the administrative territorial entity | Abila
ethylene glycol | country | Abila
Carmine Osvaldo | participant | Ale L. Hanne
Protectors of Kronos SMO | participant | Henk Bodrogi
SMO | located in the administrative territorial entity | Protectors of Kronos
selenium | manufacturer | POK
Minister of Health | position held | Minister Nespola
POK | product | Jeroen Karel
Osvaldo | member of | Protectors of Kronos
City Council | inception | 1997
WFA | member | Joclyn Reynolds
Kronos | inception | October 2001
Kronos government | affiliated with | Kronos military
Protectors of Kronos | country | Kronos
Abila | contains | Protectors of Kronos
SMO | country | Protectors of Kronos
Tiskele River | located in the administrative territorial entity | Elodis
POK | product | international health organization
Tiskele River | country | Abila
Tiskele River | located in the administrative territorial entity | Protectors of Kronos
Valentine Mies | inception | 1997
POK | country | Kronos government
Chamber of Commerce | located near | Tiskele River
POK | product | Juliana
Alliance Stage | location | Kronos
River | country | Protectors of Kronos
Carmine Osvaldo | located near | Tiskele River
Jeroen Karel | location | Abila
Kronos government | located near | Tiskele River
Protectors of Kronos | member | Henk Bodrogi
Warhol | colleague | Valentine Mies
Abila | method of farming | floodplain farming
Bodrogi | country | Abila
Protectors of Kronos | inception | October 2001
Carmine Osvaldo | affiliated with | Kronos military
Yanick Cato | colleague | Fluss
Elodis | manufacturer | POK
POK | product | lead
Juliana | manufacturer | POK
Mira | located near | Bodrogi
Joclyn Reynolds | member of | WFA
POK | product | WFA
benzene | manufacturer | POK
Henk Bodrogi | member of | POK
Elodis | method of farming | floodplain farming
Ale L. Hanne | inception | 1997
Juliana Vann | sibling | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | birth date | August 18 1998
GAStech | inception | August 2001
Protectors of Kronos | member | Elian Karel
Elodisians | inception | August
Tiskele River | located in the administrative territorial entity | Kronos
Elodis | contains administrative territorial entity | Elodis Community Health Center
Osvaldo | colleague | Yanick Cato
Kronos government | country | Abila
Elodis Community Health Center | located in the administrative territorial entity | Elodis
Protectors of Kronos | also known as | POK
Council | inception | 1997
Carmine Osvaldo | inception | 1997
Chamber of Commerce | part of | Abila
Elodis | country | Protectors of Kronos
Kronos | contains | Protectors of Kronos
Elodis | country | Government of Kronos Assembly
Mira | located in the administrative territorial entity | Abila
Elodis Community Health Center | affiliated with | Chamber of Commerce
Bodrogi | located in the administrative territorial entity | Abila
GAStech | located in the administrative territorial entity | GAStech fields
GAStech | competitor | Kronos
Osvaldo | colleague | Valentine Mies
Minister Nespola | country | Kronos government
Degree of Master of Arts in Humanities | awarded by | University of Abila
Master’s Thesis | author | Esme Nesmith
Kronos | has employee | Elian Karel
Valentine Mies | colleague | Fluss
toluene | manufacturer | POK
Elodis Community Health Center | located near | Tiskele River
Elian Karel | affiliation | POK
Minister Nespola | position held | Minister of Health
