index,processed_entities,output_tokens
0,"Turin; Skeleton World Cup; Canadian; 2006 Winter Olympics; FIBT World Championships; British Columbia; July 2012; Vancouver; Transylvania; Jeff Pain; Wilfried "" Willi "" Schneider; Media; 2010 Winter Olympics; 13 March 1963; German; Russian; 1997-8; Salt Lake City; Jon Montgomery; Canada; 2002 Winter Olympics; Duff Gibson; Melissa Hollingsworth",130
1,"Canadian; Alberta; 1930s; University of Alberta; Rod Sykes; January 16, 1992; August 20, 1920; Ross Patterson Alger; University of Toronto; Saskatchewan; Prelate; Harry Alger; Calgary City Council; World War II; Ctrain; Calgary; Royal Canadian Air Force; XV Olympic Winter Games; Olympic coliseum",151
2,Norm Barker; London; Mort Shuman; Jeff Healey; Islington Academy; Toronto; Elvis Presley; 42nd; Richard Uglow; Jeff Healey's Roadhouse; Doc Pomus; Mess of Blues; Studio 92; Canada,73
3,Marion Hutton; Los Angeles Community College; Ritz Brothers; Ramez Idriss; Eddie Cantor; 23 years; Head Writer; The Woody Woodpecker Song; Ramey Idriss; Jimmy Durante; ASCAP; Something Old Something New; Producer; 5 February 1971; I ll Wait; Leave It to Joan; American; My Three Sons; Worry Worry Worry; 11 September 1911; The Old Chaperone; Wet Blanket Policy; 1960s; Take a Letter Miss Smith; George Tibbles,154
4,"Guri; November 2008; 110 countries; Venezuela government; Caribbean; Asia; 19,550 students; Cuban healthcare system; ELAM; January 2007; Alejandro Próspero Réverend; Bolívar; Cuba; United States; Latin America; Venezuela; October 2006; Africa; Cuban government; French",149
5,Convention People's Party; British; London; African; Sanders of the River; England; Ghana; Kwame Nkrumah; Gabriel Donizetti; West African; Paul Robeson; Song of Freedom; Zinga; US; J. Elder Wills; Gaetano Donizetti,90
6,Detroit; Michigan; Africa; United States; IE certificate; Soccer Academy; Los Angeles; Middle East; Capistrano Films; California,39
7,Stinger; Aselsan; Roketsan; Cirit; Ankara; low earth orbit satellites; Havelsan; Turkey; SSK; Vakıflar Bankası; Turkish; Rapier; Anatolia; MKEK; UMTAS,126
8,"Sacramento; Sacramento Bee; Reno, Nevada; Modesto; Sacramento Valley; Walt Disney; Fresno; United States; Oregon; Scoopy Bee; Stockton, California; McClatchy Company; San Francisco Bay Area; California",77
9,"Vietnam; communist regime; Cambodian-Vietnamese War; Socialist realist; Cambodia; Soviet Union; 1930s; Khmer Rouge; late 1970s; Royal Palace; July 29, 2007; Botum Park; August 30, 1998; Phnom Penh",90
10,"Canadian; Nicolas; Charles-douard; July 3, 1954; Roman Catholic; INSEAD; Lakefield; Paul; Fontainebleau; France; Hlne Desmarais; Paul Desmarais Sr.; Quebec; Ontario; Montreal; Sudbury; Lakefield College School; Power Corporation of Canada; Alexandre; Paul Desmarais Jr.; McGill University",143
11,Via Nino Bixio; Mola di Bari; 13th century; Via Pesce; Adriatic Sea; Barese; Apulia; Chiesa Matrice; Southern Italy; Metropolitan City of Bari; Italian; focaccia; Piazza XX Settembre; 1990s,81
12,Guilderland; 1970 Census; Capital District; Albany County; census-designated place; Albany; Crossgates Mall; U.S. Route 20; Western Avenue; New York; CDP; 2010 census; Westmere,67
13,"Chicago municipal court judge; Assistant States attorney; 9th District; BA; Assistant Corporation Counsel; Sidney Yates; Chicago; Congress; December 6, 1964; United States Senate; Democratic; 12th district; Illinois; Cook County; Edward Rowan Finnegan; February 2, 1971; U.S. Representative; June 5, 1905; Loyola University Chicago; Circuit Court of Cook County",152
14,Alt Penedès; 800 m; Parc del Foix; Foix; Tarragona; Garraf; Anoia; Barcelona; Spain; Camping Paradiso; Cubelles; 1990s; Catalonia; La Llacuna; Mediterranean Sea,81
15,second cabinet Bratteli; Vestvågøy; cabinet Nordli; Eivind Bolle; Nordland; Finn Knutsen; 1959 to 1963; Nordland county council; 10 June 2012; 1973 to 1981; Minister of Fisheries; Karl Ingebrigtsen; 1938 to 1974; 1971 to 1973; Eindride Sommerseth; Hol; Labour Party; Hol municipality council; Norwegian Parliament; first cabinet Brundtland; Norwegian; 13 October 1923,157
16,88; Norwegian Army; Bergen; Colonel; World War I; Henrik August Angell; SK Ull; Luster; Regiment Chief; Sogn og Fjordane; Western Front; France; 22 August 1861; Holmenkollen; Søndermør Infantry Regiment; Marie With Bonnevie; French Foreign Legion; 26 January 1922; Oslo; Smaalenene Infantry Regiment; Gustav Lærum; Norway; Kristiania; Norwegian Military Academy; Norwegian,188
17,Maryland; Carey; Baltimore; Carey Business School; master of science degrees; medicine; graduate certificates; 1950s; JHUCarey; Gilman School; William P. Carey; engineering; public health; Johns Hopkins; James Carey (1751-1834); Johns Hopkins schools; nursing; America; MBA degrees; Johns Hopkins University; arts and sciences,139
18,1801-1870; Otto Bernheimer; 27 December 1841; Bernheimer-Haus; Sarah; Munich; 29 May 1918; Buttenhausen; German; December 1889; Prince Regent Luitpold; 1803-1881; Münsingen; Württemberg; Meier Bernheimer; Lehmann Bernheimer; English Café; Kahn,116
19,U.S. railway history; DVD / Blu-ray Disc; Band of Horses; Jamey Johnson; Grammy Award; This Train; Willie Nelson; American Southwest; Mumford & Sons; Old Crow Medicine Show; Big Easy Express; iTunes; 1950s and 1960s; SXSW 2012; John Reilly and Friends; Emmett Malloy; Woody Guthrie; Railroad Revival Tour,132
20,"Australian Government; Chile; $ 57 million; copper; fourth; Simon Crean; sugar tariff; $ 3 billion; pulp and waste paper; Australian Parliament; July 30, 2008; Minister for Trade; May 27, 2008; $ 94 million; 91.9 %; July 18, 2007; $ 96 million; December 8, 2006; 97.1 %; coal; 1st quarter of 2009; January 1, 2009; 90.8 %; 41st; price band system; $ 21 million; $ 856 m; table grapes; civil engineering equipment; Australia; 96.9 %",198
21,"Ethiopia; Lake Tana; Gondar; Amharic; Gojjam Zones; Addis Zemen; 4,231 meters; Misraq Gojjam; Mount Guna; Debre Tabor; mid-19th century; Wag Hemra; Mirab Gojjam; Semien Wollo; Abbay River; Semien Gondar; Debub Gondar; Debub Wollo; Wereta; Bahir Dar; Ethiopian Amhara Region",127
22,"Dr. Kebwe Steven Kebwe; Tanzania; 2,209,072; municipality of Morogoro; Iringa; Ruvuma Region; 22nd; 31 administrative regions; Lindi Regions; fourteenth; Dodoma Regions; 2.4 percent; Pwani; 2012 national census; 2002-2012; Morogoro Region; 31 people per square kilometer; 2,218,492; Tanga Region",116
23,Manon Balletti; Jacques-François Blondel; France; pulmonary hypertension; Silvia Balletti; Comédie Italienne; Italian; Giacomo Casanova; Paris; Rue du Petit-Lion-St. Sauveur,71
24,"Catholic Press Association; Pittsburgh Catholic; Michael O'Connor; St. Francis de Sales Award; Donald Wuerl; western Pennsylvania; Robert P. Lockwood; 111,250; Catholic; 21 cents",78
