doc_key,chunk_index,entities,latency,input_tokens,output_tokens,processed_entities
0,0,"
Kyrla Halford; University of Abila; Kronos; Protectors of Kronos; Social Movement Model; Evolution; State; Grassroots Social Movement; One World Research Institute; Center for Change Now; 2005; Paper SW1138

##Your task",1.5789871215820312,732,55,Kyrla Halford; University of Abila; Kronos; Protectors of Kronos; Social Movement Model; Evolution; State; Grassroots Social Movement; One World Research Institute; Center for Change Now; 2005; Paper SW1138
0,1,"

- Sri Lanka
- 30 June 1972
- Udawalawe National Park
- Udawalawe Reservoir
- Walawe River
- Colombo
- Sabaragamuwa
- Uva Provinces
- John Martyn
- Palookaville
- Primrose Hill
- Road to Ruin
- Island Records
- Fatboy Slim
- Martyn
- Danny Thompson
- 1970
- The Road to Ruin
- 2004
- John
",3.0126190185546875,726,107,Sri Lanka; 30 June 1972; Udawalawe National Park; Udawalawe Reservoir; Walawe River; Colombo; Sabaragamuwa; Uva Provinces; John Martyn; Palookaville; Primrose Hill; Road to Ruin; Island Records; Fatboy Slim; Martyn; Danny Thompson; 1970; The Road to Ruin; 2004; John
0,2,"

Elodis; Kronos; 1997; grassroots effort; contamination; irrigation; culinary water; potable water; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; nearby Tiskele River; irrigation; culinary water; potable water; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background;",7.108018636703491,699,256,Elodis; Kronos; 1997; grassroots effort; contamination; irrigation; culinary water; potable water; nearby Tiskele River; formation; social movement organization; Protectors of Kronos; history; background; primary industry; floodplain farming; dependent; background;
0,3, Elodis; City Council; Kronos; Health Center; Cancer; Neurological Diseases; Birth Defects; Respiratory Illness; Gas Drilling; Upstream; Elodis Citizens; Kronos Government; Closed-door Sessions; Public Sessions; Possibilities; Elodis Citizens; Views; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elodis Citizens; Elod,7.176607847213745,698,256,Elodis; City Council; Kronos; Health Center; Cancer; Neurological Diseases; Birth Defects; Respiratory Illness; Gas Drilling; Upstream; Elodis Citizens; Kronos Government; Closed-door Sessions; Public Sessions; Possibilities; Views; Elod
0,4," Henk Bodrogi; Kronos; Protectors of Kronos; SMO; Community; Farm; Military; Civic Business Groups; Leader

The Protectors of Kronos SMO

The Protectors of Kronos SMO was formed in 1997 by seven citizens of Elodis.

The founding members were:  Henk Bodrogi, Carmine Osvaldo, Ale L. Hanne, Jeroen Karel, Valentine Mies, Yanick Cato and Joreto Katell.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kronos area.

The SMO was formed to address the problem of flooding in the Kron",7.168755054473877,743,256,Henk Bodrogi; Kronos; Protectors of Kronos; SMO; Community; Farm; Military; Civic Business Groups; Leader
0,5, Elodis; Elodis Community Health Center; Minister of Interior; Abila; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of Interior; Minister of,7.10738468170166,724,256,Elodis; Elodis Community Health Center; Minister of Interior; Abila; Minister of
0,6, Elodis; Tiskele River; Bodrogi; Jeroen Karel; Valentine Mies; GAStech; Gas drilling operation; Activists; Social movement organization; Identity brand; Specific agenda; Clean water; Elodis; Tiskele River; Bodrogi; Jeroen Karel; Valentine Mies; GAStech; Gas drilling operation; Activists; Social movement organization; Identity brand; Specific agenda; Clean water; Elodis; Tiskele River; Bodrogi; Jeroen Karel; Valentine Mies; GAStech; Gas drilling operation; Activists; Social movement organization; Identity brand; Specific agenda; Clean water; Elodis; Tiskele River; Bodrogi; Jeroen Karel; Valentine Mies; GAStech; Gas drilling operation; Activists; Social movement organization; Identity brand; Specific agenda; Clean water; Elodis; Tiskele River; Bodrogi; Jeroen Karel; Valentine Mies; GAStech; Gas drilling operation; Activists; Social movement organization; Identity brand; Specific agenda; Clean water; Elodis; Tiskele River; Bodrogi; Jero,7.131012916564941,705,256,Elodis; Tiskele River; Bodrogi; Jeroen Karel; Valentine Mies; GAStech; Gas drilling operation; Activists; Social movement organization; Identity brand; Specific agenda; Clean water; Jero
0,7, POK; WFA; Tiskele River; GAStech; Joclyn Reynolds; Hank Fluss; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings; Media; Denials; GAStech; Bodrogi; Osvaldo; Meetings;,7.128926038742065,700,256,POK; WFA; Tiskele River; GAStech; Joclyn Reynolds; Hank Fluss; Bodrogi; Osvaldo; Meetings; Media; Denials; Meetings;
0,8," Juliana Vann; Lemual Vann; Neske Vann; GAStech; Sten Sanjorge, Jr.; Benzene; Health Issues; Toxins; Juliana Vann; Lemual Vann; Neske Vann; Valentine Mies; Bodrogi; Cato; Juliana Vann; Daisy; Warhol-esque colors

Example",2.2648513317108154,756,80,"Juliana Vann; Lemual Vann; Neske Vann; GAStech; Sten Sanjorge, Jr.; Benzene; Health Issues; Toxins; Valentine Mies; Bodrogi; Cato; Daisy; Warhol-esque colors"
0,9," POK; Kronos; Elodis; WFA; Hyper Acidic Substrate Removal; Natural Gas Drilling Operations; Benzene; Toluene; Xylene; Arsenic; Barium; Chromium; Lead; Selenium; Juliana; Membership Numbers; Recruiter; Personnel Organizer; Founding Members; Extended Families; Media Awareness; Jeroen Karel

Example",2.3149573802948,708,82,POK; Kronos; Elodis; WFA; Hyper Acidic Substrate Removal; Natural Gas Drilling Operations; Benzene; Toluene; Xylene; Arsenic; Barium; Chromium; Lead; Selenium; Juliana; Membership Numbers; Recruiter; Personnel Organizer; Founding Members; Extended Families; Media Awareness; Jeroen Karel
