doc_key,processed_entities,output_tokens
0,"Osvaldo; Kronos Government; POK; GAStech fields; Kyrla Halford; August 2001; sign; protest; Meetings; Media; Selenium; Island Records; Upstream; Sri Lanka; Joclyn Reynolds; irrigation; Specific agenda; March 2001; oil and gas development; potable water; Closed-door Sessions; John; Benzene; Kronos government; Protectors of Kronos; Community; Hyper Acidic Substrate Removal; public rallies; Activists; Media Awareness; bribes; Neske Vann; Arsenic; nearby Tiskele River; tax; Personnel Organizer; Minister Nespola; Udawalawe Reservoir; Gas drilling operation; arrested; Fatboy Slim; founding members; Health Issues; Minister of; lobbying efforts; Membership Numbers; Public Sessions; Juliana Vann; Hank Fluss; Minister of Health; Farm; Center for Change Now; government officials; Elod; Elodis; Toluene; Meetings; primary industry; culinary water; Elodis Community Health Center; health care; Udawalawe National Park; Leader; Palookaville; 30 June 1972; Xylene; Danny Thompson; Government of Kronos Assembly; Respiratory Illness; GAStech; Juliana; Colombo; Denials; Neurological Diseases; public concern; Warhol-esque colors; Minister of Interior; Jero; grassroots effort; Views; Grassroots Social Movement; Primrose Hill; corruption; Cato; University of Abila; Founding Members; Social movement organization; Uva Provinces; formation; dependent; Daisy; Abila; Gas Drilling; Kronos government officials; Tiskele River; Minister; Jeroen Karel; John Martyn; Martyn; Military; SMO; City Council; Road to Ruin; Bodrogi; background; October 2001; Sabaragamuwa; Kronos; One World Research Institute; Birth Defects; capital city; Lead; accounting; Evolution; government vehicle; precipitated; Henk Bodrogi; Cesare Nespola; POK supporters; Toxins; The Road to Ruin; Identity brand; social movement organization; background; WFA; Extended Families; Health Center; Recruiter; Barium; Sten Sanjorge, Jr.; Lemual Vann; direction; contamination; Possibilities; State; history; clean water projects; Elian Karel; Henk Bodrogi; July 1999; supporters; Chromium; Cancer; fold; arrests.; Clean water; Social Movement Model; June 2001; POK mission; Walawe River; Elodis Citizens; Paper SW1138; actions; Civic Business Groups; Valentine Mies; floodplain farming",2508
1,"Unrestricted gas drilling; Kronosian embassies; Civil Disobedience; Osvaldo; suppression; Asteria; Save Our Wildlands; Peaceful POK rallies; POK; POK expansion; opinions; Lorenzo Di Stefano; Rural areas; Kronosian gas fields; August 2001; impact; activist groups; Causes; Moderate alternatives; ethylene glycol contamination; Social; cancer; social activist groups; Politics; strength; Suppression; Bribery; Violent Action; March 2001; birth defects; Funds; cardiopulmonary symptoms; Karel; powerlessness; Silvia Marek; POK recruitment strategy; Fluss; Political Entity; illnesses; agree; Open right hand; Kronos government; crop yield; Elodis Chamber of Commerce; Tiskele Bend; Environmental activist group; Protectors of Kronos; Hyper Acidic Substrate Removal; Rallies; POK recruitment challenges; POK survival; Contexts; Kronosian government; 1997-2001; position.; POK rallies; burn-out; POK recruitment success; Suppression; Elodis township; Hank Fluss; Juliana Vann; POK recruitment results; Policies; organization; opposition; Years; Agrarian lifestyle; Regulations; Central cause; Elodis; POK recruitment process; GAStech CEO Sten Sanjorge, Jr.; Tiskele Bend fields; HASR technique; Leader; social movements; Killing; Dominant POK Personalities; trespassing; growth; future; convinced; Government Accountability; Martyrs; Gas drilling; stages; Oil and gas development; Gas and Oil Field Operations; POK recruitment timeline; Respected; Harassment; GAStech; Henk; process; Political influence; Fraud; Members; recruitment; Tethys; effectiveness; Vegan lifestyle; Vincent Kapelou; Rural communities; Protest; POK recruitment success rate; Government; new wave activists; POK leader; government; neurological diseases; media; Political; Persistent, peaceful protest; University of Abila; protectors of Kronos; Popular Leader; Health care; Adaptation; floodplain farmer; Repression; populace; hopelessness; Environmental science; respiratory illnesses; Black background; Oversight; Abila; groups; Environmental contamination; POK recruitment efforts; Tiskele River; August 2001; citizens; personnel; Social movements; Jeroen Karel; engagement; Actions; Bodrogi; Militant; Kronos; Power; Henk Bodrogi; POK recruitment methods; Corruption; mainstream political forces; Cesare Nespola; Isia Vann; win; change; neutrality; General Assembly; WFA; central agency; grassroots organization; Clean water projects; environmental rallies; Mandor Vann; Elodis City Council; POK recruitment; support; civil disobedience; Powerholders; contamination; Myths; Economic; P; Internal factors; Militancy; Elian Karel; July 1999; grassroots movement; External forces; Clean water; Land; wife; Carmine Osvaldo; Key activists; Radicalization; goals; Visible leaders; POK members; sympathies; members; Political Entity; Movements; Tiskele Bend gas fields; President Kapelou",2151
2,Songs of the Farmer; Kronos; Federal police; This is Our Land; Protectors of Kronos; Kronos; Elodis; POK; Protest songs; 2005/04/06; Swaying; Tiskele Bend GAStech; The Weavers of our Homeland; Police van,66
3,Protectors of Kronos; Kronos; ABILA; Protests; Political Corruption; Elected Officials; Silvia Marek; Favoritism; 2012/04/09; Nepotism,45
4,Foreign company lands; First payment; Jobs; Dispersed; Infrastructure; Foreign investment; State coffers; Tax incentives; President Luis Araullo; Everyday Kronosians; Landmark; Bettering the people; 86-14 vote; Cheap energy,62
5,Mail; Operations; Family; Purchases; Milk; Broken; Father; Lunch; Hank Fluss; Generations; Good; Financial scandals; Wildcat drilling; Small peaceful township; Early grave; Small farms; Impacted; Elodis; Hardware stores; Markets; Repair; GAStech International; Lives; Tractor; Sanjorge Sr; Time; Marginal role; Reese; Cafe; Meet; Long; and two-story houses; Town; Gas station; Living; Home; Bodrogi; Soybeans; Environmental disasters; GAStech; Sten Sanjorge Jr; Two; Made; Farmer; People; Osvaldo hardware store; Street; Litre; Purchase; Tethys; Litre; Henk Bodrogi; One; Main,340
6,Ministry of Health; Ministry of Health; response; Kronos; elected officials; government; community; Henk Bodrogi; struggle,512
7,Kronos; municipal website; Elodis; Wellness for All study; Elodis Community Health Center,28
8,Corruption; Protests; POK; Citizens; flaunt; Shields; Local Businesses; Abila Police; Elodis; Side Arms; Elected Officials; Concerns; Tiskele River; Toxic Waste Dump; groups of people; Demonstrators; citizens; hypothetically; Batons; Peaceful Gathering; Protests; public salaries; luxury automobiles; officials; message; large boats; Posters; Public Consciousness; barricades; Kronos; second homes; Black-Clad Members; Lifestyle Incongruities,291
9,Healthcare; Protectors of Kronos; Kronos; 2001/03/22; Environment cleanup; Meeting; Irrigation water; Homeland Illumination; Abila; Funding; Elodis group; Henk Bodrogi; Drinking water; General Assembly,63
