doc_key,chunk_index,entities,latency,input_tokens,output_tokens
0,0," University of Abila | sponsor | One World Research Institute for Social Development
University of Abila | sponsor | Center for Change Now
University of Abila | sponsor | Kronos
University of Abila | sponsor | Protectors of Kronos
University of Abila | sponsor | Social Movement Model
University of Abila | sponsor | Evolution
University of Abila | sponsor | State
University of Abila | sponsor | Grassroots Social Movement
University of Abila | sponsor | One World Research Institute for Social Development
University of Abila | sponsor | Center for Change Now
University of Abila | sponsor | 2005
University of Abila | sponsor | Paper SW1138

##",4.131063938140869,1330,141
0,1," Sri Lanka | country | 30 June 1972
Sri Lanka | country | Udawalawe National Park
Sri Lanka | country | Udawalawe Reservoir
Sri Lanka | country | Walawe River
Sri Lanka | country | Colombo
Sri Lanka | country | Sabaragamuwa
Sri Lanka | country | Uva Provinces
John Martyn | record label | Island Records
Palookaville | publication date | 2004
John Martyn | record label | Island Records
John Martyn | spouse | Beverley Martyn
Beverley Martyn | record label | Island Records
Beverley Martyn | spouse | John
Beverley Martyn | record label | Island Records
Beverley Martyn | spouse | Martyn
Beverley Martyn | record label | Island Records
Beverley Martyn | spouse | Martyn
Beverley Martyn | record label | Island Records
Beverley Martyn | spouse | Martyn
Beverley Martyn | record label | Island Records
Beverley Martyn | spouse | Martyn
Beverley Martyn | record label | Island Records
Beverley Martyn | spouse |",7.259529113769531,1359,256
0,2," Elodis | capital city | Kronos
Elodis | incorporated | 1834
Elodis | settlement | for hundreds of years
Elodis | primary industry | floodplain farming
Elodis | dependent | nearby Tiskele River
Kronos | capital city | Elodis
Kronos | incorporated | 1834
Kronos | settlement | for hundreds of years
Kronos | primary industry | floodplain farming
Kronos | dependent | nearby Tiskele River
1997 | formation | grassroots effort
1997 | formation | social movement organization
1997 | formation | Protectors of Kronos
1997 | formation | history
1997 | formation | background
1997 | formation | primary industry
1997 | formation | floodplain farming
1997 | formation | dependent
1997 | formation | nearby Tiskele River
1997 | formation | grassroots effort
1997 | formation | social movement organization
1997 | formation | Protectors of Kronos
1997 | formation | history
1997 | formation | background
1997 | formation | primary industry
1997 | formation | floodplain farming
1997 | formation | dependent
1997 | formation | nearby Tiskele River
1997 | formation | grassroots effort
1997 |",7.212500333786011,1306,256
0,3," Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis | concerned citizens | Elodis Citizens
Elodis |",7.236582517623901,1309,256
0,4," Kronos | community | Protectors of Kronos
Kronos | community | SMO
Kronos | community | Henk Bodrogi
Kronos | community | Farm
Kronos | community | Military
Kronos | community | Civic Business Groups
Kronos | community | Leader
Protectors of Kronos | SMO | Henk Bodrogi
Protectors of Kronos | SMO | Community
Protectors of Kronos | SMO | Kronos
Protectors of Kronos | SMO | Farm
Protectors of Kronos | SMO | Military
Protectors of Kronos | SMO | Civic Business Groups
Protectors of Kronos | SMO | Leader
Henk Bodrogi | community | Kronos
Henk Bodrogi | community | Protectors of Kronos
Henk Bodrogi | community | SMO
Henk Bodrogi | community | Farm
Henk Bodrogi | community | Military
Henk Bodrogi | community | Civic Business Groups
Henk Bodrogi | community | Leader

Text:",6.532060146331787,1322,231
0,5," Elodis | community health center | Elodis Community Health Center
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center | Minister of Interior
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center | Minister of Interior
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center | Minister of Interior
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center | Minister of Interior
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center | Minister of Interior
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center | Minister of Interior
Elodis | community health center | Minister of Interior
Elodis | community health center | Abila
Elodis | community health center |",7.28912353515625,1294,256
0,6," Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi | has returned | Osvaldo
Bodrogi |",7.408758401870727,1305,256
0,7," POK | contacted | WFA
POK | contacted | GAStech
POK | contacted | Joclyn Reynolds
POK | contacted | Hank Fluss
POK | contacted | Bodrogi
POK | contacted | Osvaldo
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK | requested | Meetings
POK",7.318193674087524,1294,256
0,8," Juliana Vann | daughter | Lemual Vann; Neske Vann
Juliana Vann | health issue | leukemia
Juliana Vann | health issue | benzene toxicity
Juliana Vann | death | August 18 1998
Juliana Vann | death | leukemia
Juliana Vann | death | benzene toxicity
Juliana Vann | death | GAStech
Juliana Vann | death | Sten Sanjorge, Jr.
Juliana Vann | death | Benzene
Juliana Vann | death | Health Issues
Juliana Vann | death | Toxins
Juliana Vann | death | Valentine Mies
Juliana Vann | death | Bodrogi
Juliana Vann | death | Cato
Juliana Vann | death | Daisy
Juliana Vann | death | Warhol-esque colors
Juliana Vann | death | GAStech
Juliana Vann | death | Sten Sanjorge, Jr.
Juliana Vann | death | Benzene
Juliana Vann | death | Health Issues
Juliana Vann | death | Toxins
Juliana Vann | death | Valentine Mies
Juliana Vann |",7.263534069061279,1361,256
0,9," Kronos | location | POK
Kronos | location | POK
POK | location | Kronos
POK | location | Elodis
POK | location | WFA
WFA | location | POK
Hyper Acidic Substrate Removal | associated with | POK
Hyper Acidic Substrate Removal | associated with | Kronos
Hyper Acidic Substrate Removal | associated with | Elodis
Hyper Acidic Substrate Removal | associated with | WFA
Natural Gas Drilling Operations | associated with | POK
Natural Gas Drilling Operations | associated with | Kronos
Natural Gas Drilling Operations | associated with | Elodis
Natural Gas Drilling Operations | associated with | WFA
Benzene | substance | WFA
Toluene | substance | WFA
Xylene | substance | WFA
Arsenic | substance | WFA
Barium | substance | WFA
Chromium | substance | WFA
Lead | substance | WFA
Selenium | substance | WFA
Juliana | person | POK
Membership Numbers | increase | POK
Membership Numbers | increase | Kronos
Membership Numbers | increase | Elodis
Members",7.259035587310791,1337,256
